Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20
,Latvia,56.8796,24.6032,77,28,49,41,32,56,30,67,48,50,86,90,70,17,28,77,12,39,12,89,86,87,80,27,19,67,72,39,87,60,39,86,83,54,78,75,82,55,40,73,56,60,92,45,5,49,26,14,62,99,13,21,61,65,49,57,26,68,6,86,67,88,37,78,63,42,9,19,31,5,47
,Morocco,31.7917,-7.0926,14,6,4,21,13,4,1,1,2,1,3,2,4,5,2,0,3,2,4,2,0,3,2,1,1,1,5,6,14,17,2,1,2,3,1,0,0,0,1,1,2,2,1,1,17,1,0,1,0,1,4,4,2,7,5,0,6,3,2,3,2,2,2,0,2,3,3,2,48,95,17
,Saudi Arabia,24.0,45.0,0,2,0,2,3,4,0,6,1,8,10,3,4,6,5,3,3,2,5,2,3,3,2,0,2,3,4,7,3,6,6,3,5,2,2,1,1,1,2,4,1,1,1,2,1,2,2,0,0,3,3,4,2,13,15,0,5,2,5,1,3,2,2,0,2,3,3,3,0,3,5
,Senegal,14.4974,-14.4524,3,8,7,5,3,5,4,7,8,6,4,2,4,5,6,3,5,3,2,4,1,5,5,6,4,5,5,6,2,4,5,7,10,4,6,4,4,3,3,3,3,2,1,2,1,2,3,6,2,6,3,2,2,3,1,0,0,1,0,4,4,8,3,0,3,4,5,2,1,2,5
,Argentina,-38.4161,-63.6167,33,5,11,8,3,5,6,17,8,6,9,10,3,50,87,15,55,8,7,6,6,2,34,82,11,4,4,55,7,2,5,6,4,3,25,4,4,2,5,3,2,6,4,2,5,7,26,2,6,3,25,6,5,4,21,15,2,6,26,1,5,5,9,46,1,3,4,6,2,2,39
,Chile,-35.6751,-71.543,4,4,6,6,3,4,5,26,16,6,6,7,3,4,10,6,0,3,2,2,4,3,6,2,2,2,4,14,5,2,4,4,5,3,4,4,2,1,3,3,3,5,3,1,1,1,4,4,6,0,1,4,5,3,7,5,1,5,10,1,3,4,5,2,3,3,3,6,2,3,2
,Jordan,31.24,36.51,9,4,60,2,3,3,3,14,5,11,7,3,3,5,3,2,38,22,50,18,16,3,4,3,1,5,7,10,21,16,5,8,5,3,75,6,2,1,3,40,3,2,1,0,17,3,3,1,1,4,4,5,10,22,39,0,5,7,42,64,4,3,3,0,2,3,11,44,28,11,55
,Ukraine,48.3794,31.1656,12,36,3,4,9,10,11,82,42,54,53,55,92,56,98,8,26,8,4,55,97,87,54,8,14,8,6,9,10,11,16,4,22,89,10,8,50,60,8,5,19,11,4,5,5,4,39,61,3,21,53,15,1,17,54,39,9,2,17,27,22,5,2,0,2,9,6,5,2,5,13
,Hungary,47.1625,19.5033,7,5,7,10,12,27,97,65,36,28,10,48,43,84,14,1,11,2,3,73,89,20,19,75,9,5,4,14,11,14,43,6,14,32,4,94,6,90,4,49,97,80,94,2,96,41,14,7,0,55,12,16,7,19,11,0,5,2,5,4,5,8,8,2,5,8,10,8,16,8,7
Northern Territory,Australia,-12.4634,130.8456,97,92,96,72,42,9,18,19,31,18,11,48,44,47,44,27,46,60,80,78,83,56,62,37,14,36,38,73,73,85,69,25,15,6,9,96,100,99,97,71,92,63,66,17,36,84,97,99,12,10,57,74,18,35,39,69,64,67,99,100,98,67,75,57,65,47,27,23,67,93,94
