Province/State,Country/Region,Lat,Long,1/1/2020,1/2/2020,1/3/2020,1/4/2020,1/5/2020,1/6/2020,1/7/2020,1/8/2020,1/9/2020,1/10/2020,1/11/2020,1/12/2020,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020
Queensland,Australia,-28.0167,153.4,29,30,29,30,31,30,29,30,30,30,30,25,27,27,28,28,28,26,28,31,33,32,30,31,29,28,29,29,32,30,30,31,32,34,25,25,23,26,27,27,29,28,27,26,29,30,31,30,31,32,30,28,27,27,26,27,29,29,29,28,30,32,30,28,29,30,29,27,23,24
,Cambodia,11.55,104.9167,34,34,34,33,33,34,33,34,34,35,33,33,33,33,33,34,34,33,33,34,34,35,34,34,34,34,34,34,33,29,31,33,33,34,34,34,34,35,34,32,31,35,35,36,36,36,36,34,35,35,35,35,35,35,35,35,36,35,35,35,36,35,36,35,34,35,36,37,37,38
,Sri Lanka,7,81,27,27,28,28,28,27,27,25,27,27,26,25,25,26,26,27,26,27,28,27,25,23,25,25,25,26,27,28,28,27,27,27,27,26,26,25,27,26,28,28,26,26,24,24,25,28,27,27,27,27,27,25,26,23,27,28,28,28,28,28,28,29,30,30,30,27,27,28,29,30
,Germany,51,9,1,0,6,4,4,3,5,5,9,7,4,4,5,7,10,9,7,4,4,3,3,2,3,1,2,3,5,4,4,7,11,9,11,8,4,6,5,5,3,9,6,5,5,3,6,8,13,9,5,5,7,6,10,10,9,7,4,2,4,11,8,9,6,7,5,4,6,8,9,10
,Finland,64,26,3,4,3,0,-4,0,3,3,1,-1,0,2,0,1,2,1,1,3,0,3,3,-1,0,0,-2,-3,-8,-5,-2,-3,-4,-2,0,-2,-8,-2,-4,-2,0,2,3,2,2,2,-2,1,3,3,3,0,-4,3,4,2,0,0,-3,-2,-3,-4,-3,-5,-3,-2,2,-1,2,3,4,4
,United Arab Emirates,24,54,28,26,30,30,29,23,23,25,27,24,20,17,21,21,21,22,23,27,27,26,23,28,28,20,22,18,20,22,23,24,23,25,25,22,22,24,25,27,30,31,25,21,19,20,22,24,26,29,31,31,32,25,27,31,32,36,28,24,24,26,30,30,25,24,25,27,29,31,26,27
,Philippines,13,122,29,28,29,28,27,28,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,27,28,28,28,28,28,26,27,27,27,26,28,28,28,28,27,27,28,27,28,28,28,28,29,27,27,27,28,28,29,28,28,27,28,28,28,28,28,28,28,30,29,28,28,28,29
,India,21,78,22,20,24,24,24,25,27,26,25,23,25,26,28,29,29,27,27,28,27,27,29,30,29,29,30,31,30,30,28,28,28,26,27,27,28,28,27,29,27,27,28,28,31,32,33,33,33,32,33,33,35,34,33,34,33,30,31,33,33,34,34,33,34,33,33,33,33,34,32,32
,Italy,43,12,11,11,10,13,11,9,9,10,11,11,12,12,11,11,12,12,11,10,8,8,10,13,12,12,14,12,13,15,14,15,13,16,17,18,16,12,11,14,14,14,16,17,17,16,17,17,18,17,15,14,15,16,17,19,18,16,13,14,15,16,14,15,11,11,13,15,13,14,14,16
,UK,55,-3,5,10,7,8,9,9,13,7,5,6,12,7,8,6,8,9,6,7,5,6,8,10,8,8,8,8,7,5,8,10,11,8,8,6,11,7,8,9,9,11,5,5,5,4,9,10,7,8,6,8,8,9,5,6,6,5,6,7,8,6,7,5,8,8,9,7,9,8,7,9
